mDM [eV],g [GeV^-1]
0.4643132420747599,1.0982890220992277e-7
0.4653961705082106,1.3325688965703151e-9
0.46648162468050675,7.719522231530978e-11
0.4675696104824871,1.5144533952877778e-11
0.4686601338187296,4.798696695367928e-12
0.4697532006075838,9.131762622995603e-12
0.47084881678120244,3.8855932912823505e-12
0.47194698828557424,2.6785786800206116e-12
0.47304772108055576,2.953442251043768e-12
0.4741510211399038,3.0942232153058794e-12
0.47525689445130814,1.6933564041306998e-12
0.47636534701642347,1.6285526830008925e-12
0.47747638485090255,2.6468981460050045e-12
0.47859001398442835,2.87575963158454e-12
0.4797062404607473,2.7844195443237866e-12
0.4808250703377014,1.7695635290029576e-12
0.4819465096872619,1.3080522997506089e-12
0.4830705645955615,1.829088846112614e-12
0.48419724116292806,2.2147835290828254e-12
0.48532654550391713,2.9010272966131517e-12
0.4864584837473454,1.7345342246803111e-12
0.4875930620363241,1.5053669634037557e-12
0.4887302865282919,1.953180722775249e-12
0.489870163395049,1.823274036827886e-12
0.4910126988227899,2.4931696002718606e-12
0.4921578990121374,1.7503911682661305e-12
0.4933057701781762,1.0393058544484646e-12
0.4944563185504865,1.2458874057530553e-12
0.49560955037317794,2.348516254800397e-12
0.4967654719049236,2.625511866090323e-12
0.49792408941899347,2.857887737013673e-12
0.49908540920328914,1.8422274399686754e-12
0.5002494375603774,1.4248051480990314e-12
0.5014161808075248,1.9496813740374067e-12
0.5025856452767319,2.2764939722760393e-12
0.503757837314767,2.2312490397435166e-12
0.5049327632832018,1.9211260598582687e-12
0.5061104295584449,1.3879630659864365e-12
0.5072908425317767,1.9536234500039524e-12
0.5084740086093842,2.036562578418291e-12
0.5096599342123957,1.3562139985155873e-12
0.5108486257769158,1.5877554608394483e-12
0.5120400897540599,1.5058965509825994e-12
0.5132343326099895,1.8110649370776076e-12
0.5144313608259475,1.268191899380977e-12
0.5156311808982931,1.3503059780237444e-12
0.516833799338537,1.5173728918303603e-12
0.5180392226733768,1.3960196496958016e-12
0.5192474574447327,1.8105761050107737e-12
0.5204585102097825,2.074990680261535e-12
0.5216723875409977,1.915797780612984e-12
0.5228890960261786,1.8633305556022917e-12
0.5241086422684909,1.4893663433614194e-12
0.5253310328865005,1.2633687143225727e-12
0.52655627451421,1.3451649198710839e-12
0.5277843738010952,1.204209602565925e-12
0.5290153374121398,1.1259111914458168e-12
0.5302491720278729,8.507772046636204e-13
0.5314858843444048,9.740592541333054e-13
0.532725481073463,1.9985243182127556e-12
0.5339679689424289,2.2649904119091893e-12
0.5352133546943747,1.791221995010724e-12
0.5364616450880993,1.0225957802448646e-12
0.5377128468981655,1.0811288495353927e-12
0.5389669669149364,1.5178435917441534e-12
0.5402240119446124,1.485997842589355e-12
0.5414839888092685,1.7085079582615017e-12
0.5427469043468905,1.2012131471448424e-12
0.5440127654114129,1.2496087015396287e-12
0.5452815788727557,1.091096089896541e-12
0.5465533516168618,1.1301792819923913e-12
0.5478280905457342,1.24211704130869e-12
0.5491058025774739,1.3306323893561738e-12
0.5503864946463168,1.3776435882102313e-12
0.5516701737026721,1.925452088370252e-12
0.5529568467131591,1.6855217968581632e-12
0.5542465206606458,1.0997764418170239e-12
0.5555392025442866,1.3287865368406135e-12
0.5568348993795598,1.9462223925904258e-12
0.5581336181983064,1.8560052580346387e-12
0.5594353660487681,1.4956545800732045e-12
0.5607401499956247,1.1996130589725641e-12
0.5620479771200337,1.345286716585884e-12
0.563358854519668,1.0025648382236696e-12
0.5646727893087545,8.233191935143819e-13
0.5659897886181129,7.446418310927573e-13
0.5673098595951939,9.509390804999377e-13
0.5686330094041189,1.2564326434650557e-12
0.5699592452257181,1.1770298405210122e-12
0.5712885742575694,1.2461663996884923e-12
0.5726210037140385,1.2011287209851123e-12
0.5739565408263165,1.0195991539466719e-12
0.5752951928424607,1.5044998454725869e-12
0.5766369670274328,9.840533249542471e-13
0.5779818706631388,8.698917708776991e-13
0.5793299110484684,8.713892741340878e-13
0.580681095499335,8.611739781291862e-13
0.5820354313487147,6.478870634094981e-13
0.5833929259466865,8.402178459245529e-13
0.5847535866604723,7.549111136211303e-13
0.5861174208744768,9.497326109715895e-13
0.5874844359903273,8.511171180886381e-13
0.5888546394269143,6.771784219242181e-13
