mDM [eV],g [GeV^-1]
0.08668750531706074,1.591252652876251e-10
0.08671928988147459,1.726572501334699e-10
0.08675108609991557,9.341504705636695e-11
0.08678289397665666,3.166111861182529e-10
0.08681471351597246,1.8661318411067025e-8
0.08684654472213912,2.402989852968709e-8
0.08687838759943436,2.6337524112964623e-8
0.08691024215213754,2.6933854842291457e-8
0.08694210838452948,2.6305032425918103e-8
0.08697398630089263,2.6292782747539775e-8
0.087005875905511,2.751468325143756e-8
0.08703777720267011,2.626369517609571e-8
0.08706969019665722,2.6247906208268403e-8
0.08710161489176098,2.684719247416186e-8
0.08713355129227171,2.6828973918957022e-8
0.08716549940248125,2.4455742192862948e-8
0.08719745922668302,2.1783162067159968e-8
0.08722943076917213,1.728847006896343e-8
0.08726141403424509,1.0408807977193515e-8
0.0872934090262001,5.769399473184621e-9
0.08732541574933687,2.5100580346306556e-10
0.0873574342079567,2.3650985950918245e-10
0.08738946440636257,2.1910343007647486e-10
0.08742150634885891,1.4682817907353391e-10
0.08745356003975174,1.2811650792092044e-10
0.08748562548334873,1.479148670957268e-10
0.08751770268395903,5.5233551098407576e-9
0.08754979164589351,1.3976618243420705e-8
0.08758189237346449,1.8416205969902207e-8
0.08761400487098595,2.1630663298446188e-8
0.0876461291427734,2.5991232467809936e-8
0.0876782651931439,2.78352644298887e-8
0.08771041302641626,2.913703537372983e-8
0.08774257264691071,2.979626161854764e-8
0.08777474405894911,2.7155326280914803e-8
0.0878069272668549,2.1064210181243134e-8
0.08783912227495311,6.054399402931425e-9
0.08787132908757041,1.14533022945103e-10
0.08790354770903498,8.648944866372097e-11
0.0879357781436766,6.866924719532835e-11
0.08796802039582668,5.56284137019972e-11
0.08800027446981812,5.2816117556458324e-11
0.08803254036998558,5.389058235177672e-11
0.08806481810066515,5.847150426332396e-11
0.08809710766619458,6.561474287843785e-11
0.0881294090709132,7.288698875837721e-11
0.08816172231916188,8.602613724970123e-11
0.08819404741528321,1.0610694312648095e-10
0.08822638436362128,1.3508554462044241e-10
0.08825873316852174,1.6659448750982672e-10
0.08829109383433192,8.704922257265017e-9
0.08832346636540064,1.5480264147456394e-8
0.08835585076607846,2.0400594758922798e-8
0.08838824704071743,2.6264266944357365e-8
0.08842065519367122,2.33939210089644e-8
0.08845307522929506,1.8145283108978914e-8
0.08848550715194581,5.288960380013367e-10
0.08851795096598199,1.8881901311138157e-10
0.08855040667576361,1.2890619103673292e-10
0.08858287428565234,1.0843153482421412e-10
0.08861535380001144,1.443845985065715e-10
0.08864784522320572,1.064480794773729e-8
0.0886803485596017,1.892613819396409e-8
0.08871286381356742,2.327353767577659e-8
0.08874539098947254,2.4359030199212537e-8
0.08877793009168829,2.325083099412493e-8
0.08881048112458752,2.070923697051417e-8
0.08884304409254476,1.60634315218095e-8
0.08887561899993605,8.421085600074807e-9
0.08890820585113908,1.2903798226644313e-10
0.0889408046505331,6.238880580933408e-11
0.08897341540249896,5.7625380086108915e-11
0.08900603811141926,5.020576301070527e-11
0.08903867278167803,5.5917161141886745e-11
0.08907131941766099,7.29734231046271e-11
0.08910397802375539,3.677513159991326e-9
0.08913664860435026,1.1312923081556723e-8
0.0891693311638361,1.4567078337082132e-8
0.08920202570660503,1.5963935999361366e-8
0.08923473223705082,1.6327155691575496e-8
0.08926745075956877,1.6699430363118297e-8
0.08930018127855595,1.7475299122747255e-8
0.0893329237984109,1.829059592478965e-8
0.08936567832353383,1.9588390770255136e-8
0.08939844485832654,2.049960852198814e-8
0.08943122340719244,2.049137568549964e-8
0.08946401397453663,2.0958357623889975e-8
0.08949681656476573,2.1931748132047357e-8
0.08952963118228803,2.2952091085693958e-8
0.0895624578315134,2.2942932735946046e-8
0.0895952965168533,2.2413472353408174e-8
0.08962814724272095,2.1882369999439515e-8
0.08966101001353105,1.9952802750558283e-8
0.08969388483369996,1.776395004854838e-8
0.08972677170764565,1.4101622496257621e-8
0.0897596706397877,9.308964557463628e-9
0.08979258163454737,9.06990301287616e-11
0.08982550469634751,3.8079906578582294e-11
0.08985843982961254,3.039257689883331e-11
0.08989138703876857,2.8255192480611592e-11
0.08992434632824327,2.6594311358559453e-11
0.08995731770246604,2.5900102781921183e-11
0.0899903011658678,2.5374109300345302e-11
0.09002329672288112,2.5526062967807255e-11
0.09005630437794022,2.7236697768665824e-11
0.09008932413548087,2.8829502799978344e-11
0.09012235599994065,2.6491240680652852e-11
0.09015539997575855,2.1656778466810655e-11
0.09018845606737531,1.8703276299888003e-11
0.09022152427923327,1.6780721762148912e-11
0.09025460461577636,1.7883843457832458e-11
0.09028769708145026,2.071039510921303e-11
0.09032080168070214,2.6604157012810568e-11
0.09035391841798089,1.5191625976982578e-9
0.09038704729773697,1.2723872403427953e-8
0.09042018832442247,1.715104279414843e-8
0.09045334150249124,1.9681095130945927e-8
0.09048650683639861,2.059807247339741e-8
0.09051968433060162,2.0120427093120736e-8
0.0905528739895589,1.9200765892539844e-8
0.09058607581773072,1.7102202098724497e-8
0.09061928981957908,1.3267509588002821e-8
0.09065251599956749,8.17344971875501e-9
0.09068575436216117,5.096344026703129e-11
0.09071900491182694,2.5373620017984497e-11
0.09075226765303322,1.9514183912540934e-11
0.09078554259025023,1.6418464097992073e-11
0.09081882972794968,1.4652187031577657e-11
0.09085212907060493,1.3663759552193229e-11
0.09088544062269104,1.297377976933054e-11
0.09091876438868461,1.2629538374913681e-11
0.09095210037306407,1.2628741881428939e-11
0.09098544858030931,1.2930163609093266e-11
0.09101880901490193,1.3664639836642262e-11
0.09105218168132519,1.5053796231891845e-11
0.09108556658406389,1.8026937133023493e-11
0.09111896372760468,2.5204534860912974e-11
0.09115237311643569,6.952443445328113e-11
0.0911857947550467,9.51892015312619e-9
0.09121922864792924,1.4075196299432683e-8
0.09125267479957631,1.771290397171108e-8
0.09128613321448281,2.080089820150458e-8
0.09131960389714507,2.2796423483804567e-8
0.09135308685206117,2.3858707356039362e-8
0.0913865820837308,2.3846950196120638e-8
0.09142008959665526,2.32907735860688e-8
0.09145360939533768,2.1730398982298396e-8
0.09148714148428265,1.979960208729799e-8
0.09152068586799647,1.7233745842166477e-8
0.09155424255098712,1.3998221368721972e-8
0.09158781153776416,9.456973210042073e-9
0.09162139283283895,8.688159497704721e-11
0.09165498644072437,2.3721612122120774e-11
0.09168859236593498,1.7811531832655688e-11
0.091722210612987,1.5518086506947218e-11
0.09175584118639833,1.4486517126242866e-11
0.09178948409068854,1.3942739951290094e-11
0.09182313933037883,1.3580223003949897e-11
0.09185680690999203,1.338528692433866e-11
0.09189048683405263,1.353527307356111e-11
0.09192417910708688,1.4409702908853695e-11
0.09195788373362258,1.6614500221007694e-11
0.09199160071818924,2.144589508909356e-11
0.09202533006531798,3.787954842448966e-11
0.09205907177954159,7.804198025730201e-9
